"date","hour","total_infection","datetime","cumulative_case"
"11/27/2023","10:00:00",0,2023-11-27 10:00:00,162
"11/27/2023","11:00:00",0,2023-11-27 11:00:00,162
"11/27/2023","12:00:00",0,2023-11-27 12:00:00,162
"11/27/2023","13:00:00",0,2023-11-27 13:00:00,162
"11/27/2023","14:00:00",0,2023-11-27 14:00:00,162
"11/27/2023","15:00:00",0,2023-11-27 15:00:00,162
"11/27/2023","16:00:00",0,2023-11-27 16:00:00,162
"11/27/2023","17:00:00",0,2023-11-27 17:00:00,162
"11/27/2023","18:00:00",0,2023-11-27 18:00:00,162
"11/27/2023","19:00:00",0,2023-11-27 19:00:00,162
"11/27/2023","20:00:00",0,2023-11-27 20:00:00,162
"11/27/2023","21:00:00",0,2023-11-27 21:00:00,162
"11/27/2023","22:00:00",0,2023-11-27 22:00:00,162
"11/27/2023","23:00:00",0,2023-11-27 23:00:00,162
"11/28/2023","0:00:00",2,2023-11-28,164
"11/28/2023","1:00:00",0,2023-11-28 01:00:00,164
"11/28/2023","2:00:00",1,2023-11-28 02:00:00,165
"11/28/2023","3:00:00",1,2023-11-28 03:00:00,166
"11/28/2023","4:00:00",2,2023-11-28 04:00:00,168
"11/28/2023","5:00:00",2,2023-11-28 05:00:00,170
"11/28/2023","6:00:00",2,2023-11-28 06:00:00,172
"11/28/2023","7:00:00",0,2023-11-28 07:00:00,172
"11/28/2023","8:00:00",0,2023-11-28 08:00:00,172
"11/28/2023","9:00:00",1,2023-11-28 09:00:00,173
"11/28/2023","10:00:00",0,2023-11-28 10:00:00,173
"11/28/2023","11:00:00",0,2023-11-28 11:00:00,173
"11/28/2023","12:00:00",0,2023-11-28 12:00:00,173
"11/28/2023","13:00:00",0,2023-11-28 13:00:00,173
"11/28/2023","14:00:00",1,2023-11-28 14:00:00,174
"11/28/2023","15:00:00",0,2023-11-28 15:00:00,174
"11/28/2023","16:00:00",0,2023-11-28 16:00:00,174
"11/28/2023","17:00:00",0,2023-11-28 17:00:00,174
"11/28/2023","18:00:00",0,2023-11-28 18:00:00,174
"11/28/2023","19:00:00",1,2023-11-28 19:00:00,175
"11/28/2023","20:00:00",2,2023-11-28 20:00:00,177
"11/28/2023","21:00:00",2,2023-11-28 21:00:00,179
"11/28/2023","22:00:00",3,2023-11-28 22:00:00,182
"11/28/2023","23:00:00",2,2023-11-28 23:00:00,184
"11/29/2023","0:00:00",1,2023-11-29,185
"11/29/2023","1:00:00",1,2023-11-29 01:00:00,186
"11/29/2023","2:00:00",0,2023-11-29 02:00:00,186
"11/29/2023","3:00:00",0,2023-11-29 03:00:00,186
"11/29/2023","4:00:00",1,2023-11-29 04:00:00,187
"11/29/2023","5:00:00",0,2023-11-29 05:00:00,187
"11/29/2023","6:00:00",0,2023-11-29 06:00:00,187
"11/29/2023","7:00:00",0,2023-11-29 07:00:00,187
"11/29/2023","8:00:00",0,2023-11-29 08:00:00,187
"11/29/2023","9:00:00",0,2023-11-29 09:00:00,187
"11/29/2023","10:00:00",0,2023-11-29 10:00:00,187
"11/29/2023","11:00:00",0,2023-11-29 11:00:00,187
"11/29/2023","12:00:00",0,2023-11-29 12:00:00,187
"11/29/2023","13:00:00",1,2023-11-29 13:00:00,188
"11/29/2023","14:00:00",0,2023-11-29 14:00:00,188
"11/29/2023","15:00:00",0,2023-11-29 15:00:00,188
"11/29/2023","16:00:00",0,2023-11-29 16:00:00,188
"11/29/2023","17:00:00",0,2023-11-29 17:00:00,188
"11/29/2023","18:00:00",1,2023-11-29 18:00:00,189
"11/29/2023","19:00:00",2,2023-11-29 19:00:00,191
"11/29/2023","20:00:00",1,2023-11-29 20:00:00,192
"11/29/2023","21:00:00",0,2023-11-29 21:00:00,192
"11/29/2023","22:00:00",3,2023-11-29 22:00:00,195
"11/29/2023","23:00:00",0,2023-11-29 23:00:00,195
"11/30/2023","1:00:00",1,2023-11-30 01:00:00,196
"11/30/2023","2:00:00",0,2023-11-30 02:00:00,196
"11/30/2023","3:00:00",0,2023-11-30 03:00:00,196
"11/30/2023","4:00:00",0,2023-11-30 04:00:00,196
"11/30/2023","5:00:00",1,2023-11-30 05:00:00,197
"11/30/2023","6:00:00",0,2023-11-30 06:00:00,197
"11/30/2023","7:00:00",0,2023-11-30 07:00:00,197
"11/30/2023","8:00:00",0,2023-11-30 08:00:00,197
"11/30/2023","9:00:00",33,2023-11-30 09:00:00,230
"11/30/2023","10:00:00",0,2023-11-30 10:00:00,230
"11/30/2023","11:00:00",0,2023-11-30 11:00:00,230
"11/30/2023","12:00:00",0,2023-11-30 12:00:00,230
"11/30/2023","13:00:00",0,2023-11-30 13:00:00,230
"11/30/2023","14:00:00",0,2023-11-30 14:00:00,230
"11/30/2023","15:00:00",0,2023-11-30 15:00:00,230
"11/30/2023","16:00:00",0,2023-11-30 16:00:00,230
"11/30/2023","17:00:00",0,2023-11-30 17:00:00,230
"11/30/2023","18:00:00",0,2023-11-30 18:00:00,230
"11/30/2023","19:00:00",0,2023-11-30 19:00:00,230
"11/30/2023","20:00:00",1,2023-11-30 20:00:00,231
"11/30/2023","21:00:00",1,2023-11-30 21:00:00,232
"11/30/2023","22:00:00",1,2023-11-30 22:00:00,233
"11/30/2023","23:00:00",0,2023-11-30 23:00:00,233
"12/1/2023","1:00:00",2,2023-12-01 01:00:00,235
"12/1/2023","2:00:00",0,2023-12-01 02:00:00,235
"12/1/2023","3:00:00",0,2023-12-01 03:00:00,235
"12/1/2023","4:00:00",1,2023-12-01 04:00:00,236
"12/1/2023","5:00:00",0,2023-12-01 05:00:00,236
"12/1/2023","6:00:00",0,2023-12-01 06:00:00,236
